Federated_Learning | INFO flwr 2024-04-29 14:06:59,052 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:07:10,821 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:07:10,822 | server.py:59 | {'accuracy': 0.47110577884423116, 'loss': 152.22749042510986}
Federated_Learning | INFO flwr 2024-04-29 14:07:10,822 | strategy.py:293 | There was a delay of 80.41859 seconds for round 14
Federated_Learning | INFO flwr 2024-04-29 14:07:10,822 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:07:10,822 | server.py:111 | [ROUND 15]
Federated_Learning | INFO flwr 2024-04-29 14:07:10,823 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:08:27,927 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:08:27,928 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:08:41,704 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:08:41,705 | server.py:59 | {'accuracy': 0.489502099580084, 'loss': 148.34565856059393}
Federated_Learning | INFO flwr 2024-04-29 14:08:41,705 | strategy.py:293 | There was a delay of 90.882399 seconds for round 15
Federated_Learning | INFO flwr 2024-04-29 14:08:41,705 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:08:41,705 | server.py:111 | [ROUND 16]
Federated_Learning | INFO flwr 2024-04-29 14:08:41,706 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:09:54,581 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:09:54,583 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:10:05,707 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:10:05,707 | server.py:59 | {'accuracy': 0.4978004399120176, 'loss': 145.6030684709549}
Federated_Learning | INFO flwr 2024-04-29 14:10:05,707 | strategy.py:293 | There was a delay of 84.001908 seconds for round 16
Federated_Learning | INFO flwr 2024-04-29 14:10:05,708 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:10:05,708 | server.py:111 | [ROUND 17]
Federated_Learning | INFO flwr 2024-04-29 14:10:05,708 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:11:19,092 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:11:19,094 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:11:29,808 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:11:29,809 | server.py:59 | {'accuracy': 0.5110977804439112, 'loss': 142.95385160048804}
Federated_Learning | INFO flwr 2024-04-29 14:11:29,809 | strategy.py:293 | There was a delay of 84.101318 seconds for round 17
Federated_Learning | INFO flwr 2024-04-29 14:11:29,810 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:11:29,810 | server.py:111 | [ROUND 18]
Federated_Learning | INFO flwr 2024-04-29 14:11:29,811 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:12:50,567 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:12:50,569 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:13:01,816 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:13:01,817 | server.py:59 | {'accuracy': 0.5208958208358329, 'loss': 140.30717545747757}
Federated_Learning | INFO flwr 2024-04-29 14:13:01,817 | strategy.py:293 | There was a delay of 92.006389 seconds for round 18
Federated_Learning | INFO flwr 2024-04-29 14:13:01,818 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:13:01,818 | server.py:111 | [ROUND 19]
Federated_Learning | INFO flwr 2024-04-29 14:13:01,819 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:14:16,494 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:14:16,495 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:14:27,629 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:14:27,629 | server.py:59 | {'accuracy': 0.518996200759848, 'loss': 139.48434944947562}
Federated_Learning | INFO flwr 2024-04-29 14:14:27,630 | strategy.py:293 | There was a delay of 85.811218 seconds for round 19
Federated_Learning | INFO flwr 2024-04-29 14:14:27,630 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:14:27,630 | server.py:111 | [ROUND 20]
Federated_Learning | INFO flwr 2024-04-29 14:14:27,631 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:15:33,354 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:15:33,355 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:15:44,616 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:15:44,617 | server.py:59 | {'accuracy': 0.5258948210357929, 'loss': 137.9453628063202}
Federated_Learning | INFO flwr 2024-04-29 14:15:44,617 | strategy.py:293 | There was a delay of 76.986817 seconds for round 20
Federated_Learning | INFO flwr 2024-04-29 14:15:44,617 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:15:44,618 | server.py:111 | [ROUND 21]
Federated_Learning | INFO flwr 2024-04-29 14:15:44,618 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:16:52,610 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:16:52,612 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:17:04,682 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:17:04,682 | server.py:59 | {'accuracy': 0.5406918616276745, 'loss': 133.5607227285703}
Federated_Learning | INFO flwr 2024-04-29 14:17:04,682 | strategy.py:293 | There was a delay of 80.064524 seconds for round 21
Federated_Learning | INFO flwr 2024-04-29 14:17:04,683 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:17:04,683 | server.py:111 | [ROUND 22]
Federated_Learning | INFO flwr 2024-04-29 14:17:04,684 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:18:16,168 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:18:16,170 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:18:27,201 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:18:27,201 | server.py:59 | {'accuracy': 0.5469906018796241, 'loss': 132.25238670905432}
Federated_Learning | INFO flwr 2024-04-29 14:18:27,202 | strategy.py:293 | There was a delay of 82.518533 seconds for round 22
Federated_Learning | INFO flwr 2024-04-29 14:18:27,202 | server.py:110 | 
