Federated_Learning | INFO flwr 2024-04-29 02:11:39,590 | app.py:465 | Received: evaluate message d710ccde-a7a0-47d4-a086-b3d46b918522
Federated_Learning | INFO flwr 2024-04-29 02:11:39,595 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,596 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:39,596 | app.py:465 | Received: evaluate message 4fdc6462-91ab-40e1-809e-877c502b416c
Federated_Learning | INFO flwr 2024-04-29 02:11:39,598 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,669 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,700 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,719 | app.py:465 | Received: train message a95fbfe4-e78f-4c21-8453-a1cc1115e410
Federated_Learning | INFO flwr 2024-04-29 02:11:41,722 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,722 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,723 | app.py:465 | Received: train message 2775ae1d-10fd-4d1e-a02f-1f9d42c93086
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:41,730 | app.py:465 | Received: train message 37977251-effc-4877-8ca2-835077ace883
Federated_Learning | INFO flwr 2024-04-29 02:11:55,304 | client.py:232 | Node 2 is transmitter for slot 0
Federated_Learning | INFO flwr 2024-04-29 02:11:55,306 | client.py:309 | There is a delay of 1.231 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:55,308 | client.py:232 | Node 1 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:55,309 | client.py:309 | There is a delay of 0.5670000000000001 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:55,310 | client.py:232 | Node 1 is transmitter for slot 2
